watershed_code,watershed_desc,year,freq_desc,short_desc,begin_code,load_time,country_code,state_alpha,class_desc,country_name,commodity_desc,Value,week_ending,county_ansi,prodn_practice_desc,end_code,asd_code,statisticcat_desc,CV (%),sector_desc,county_name,agg_level_desc,group_desc,region_desc,congr_district_code,asd_desc,unit_desc,reference_period_desc,domaincat_desc,location_desc,county_code,domain_desc,state_name,state_fips_code,source_desc,state_ansi,zip_5,util_practice_desc
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,65.7,,,ALL PRODUCTION PRACTICES,00,10,YIELD,,CROPS,OTHER (COMBINED) COUNTIES,COUNTY,FIELD CROPS,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",998,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,74,,009,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,ANTRIM,COUNTY,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, ANTRIM",009,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,66.7,,019,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,BENZIE,COUNTY,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, BENZIE",019,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,72,,029,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,CHARLEVOIX,COUNTY,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, CHARLEVOIX",029,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,81.3,,047,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,EMMET,COUNTY,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, EMMET",047,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,60.8,,055,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,GRAND TRAVERSE,COUNTY,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",055,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,50,,079,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,KALKASKA,COUNTY,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, KALKASKA",079,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,76,,089,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,LEELANAU,COUNTY,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, LEELANAU",089,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,61.1,,101,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,MANISTEE,COUNTY,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, MANISTEE",101,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
00000000,,1968,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2012-01-01 00:00:00.000,9000,MI,ALL CLASSES,UNITED STATES,CORN,69.5,,113,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,MISSAUKEE,COUNTY,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, MISSAUKEE",113,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
