state_ansi,state_alpha,commodity_desc,watershed_code,watershed_desc,country_name,county_code,unit_desc,state_fips_code,domaincat_desc,reference_period_desc,county_name,class_desc,source_desc,prodn_practice_desc,end_code,group_desc,location_desc,zip_5,begin_code,freq_desc,congr_district_code,asd_desc,year,sector_desc,region_desc,domain_desc,short_desc,country_code,CV (%),week_ending,agg_level_desc,statisticcat_desc,state_name,county_ansi,asd_code,Value,load_time,util_practice_desc
26,MI,CORN,00000000,,UNITED STATES,998,BU / ACRE,26,NOT SPECIFIED,YEAR,OTHER (COMBINED) COUNTIES,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",,00,ANNUAL,,UPPER PENINSULA,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,,10,86,2012-01-01 00:00:00.000,GRAIN
26,MI,CORN,00000000,,UNITED STATES,041,BU / ACRE,26,NOT SPECIFIED,YEAR,DELTA,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, DELTA",,00,ANNUAL,,UPPER PENINSULA,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,041,10,83,2012-01-01 00:00:00.000,GRAIN
26,MI,CORN,00000000,,UNITED STATES,109,BU / ACRE,26,NOT SPECIFIED,YEAR,MENOMINEE,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, MENOMINEE",,00,ANNUAL,,UPPER PENINSULA,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,109,10,84,2012-01-01 00:00:00.000,GRAIN
26,MI,CORN,00000000,,UNITED STATES,998,BU / ACRE,26,NOT SPECIFIED,YEAR,OTHER (COMBINED) COUNTIES,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",,00,ANNUAL,,NORTHWEST,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,,20,86,2012-01-01 00:00:00.000,GRAIN
26,MI,CORN,00000000,,UNITED STATES,029,BU / ACRE,26,NOT SPECIFIED,YEAR,CHARLEVOIX,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, CHARLEVOIX",,00,ANNUAL,,NORTHWEST,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,029,20,70,2012-01-01 00:00:00.000,GRAIN
26,MI,CORN,00000000,,UNITED STATES,047,BU / ACRE,26,NOT SPECIFIED,YEAR,EMMET,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, EMMET",,00,ANNUAL,,NORTHWEST,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,047,20,69,2012-01-01 00:00:00.000,GRAIN
26,MI,CORN,00000000,,UNITED STATES,055,BU / ACRE,26,NOT SPECIFIED,YEAR,GRAND TRAVERSE,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,00,ANNUAL,,NORTHWEST,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,055,20,82,2012-01-01 00:00:00.000,GRAIN
26,MI,CORN,00000000,,UNITED STATES,113,BU / ACRE,26,NOT SPECIFIED,YEAR,MISSAUKEE,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, MISSAUKEE",,00,ANNUAL,,NORTHWEST,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,113,20,103,2012-01-01 00:00:00.000,GRAIN
26,MI,CORN,00000000,,UNITED STATES,165,BU / ACRE,26,NOT SPECIFIED,YEAR,WEXFORD,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, WEXFORD",,00,ANNUAL,,NORTHWEST,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,165,20,86,2012-01-01 00:00:00.000,GRAIN
26,MI,CORN,00000000,,UNITED STATES,998,BU / ACRE,26,NOT SPECIFIED,YEAR,OTHER (COMBINED) COUNTIES,ALL CLASSES,SURVEY,ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",,00,ANNUAL,,NORTHEAST,1997,CROPS,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,,,COUNTY,YIELD,MICHIGAN,,30,80,2012-01-01 00:00:00.000,GRAIN
