asd_desc,asd_code,sector_desc,util_practice_desc,begin_code,agg_level_desc,country_name,statisticcat_desc,reference_period_desc,state_ansi,state_alpha,prodn_practice_desc,county_code,county_name,domain_desc,watershed_code,year,zip_5,watershed_desc,short_desc,week_ending,source_desc,county_ansi,region_desc,congr_district_code,country_code,class_desc,end_code,commodity_desc,CV (%),domaincat_desc,freq_desc,load_time,Value,location_desc,state_fips_code,group_desc,unit_desc,state_name
UPPER PENINSULA,10,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,998,OTHER (COMBINED) COUNTIES,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,106.9,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,FIELD CROPS,BU / ACRE,MICHIGAN
NORTHWEST,20,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,998,OTHER (COMBINED) COUNTIES,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,46.7,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,FIELD CROPS,BU / ACRE,MICHIGAN
NORTHWEST,20,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,009,ANTRIM,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,009,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,92,"MICHIGAN, NORTHWEST, ANTRIM",26,FIELD CROPS,BU / ACRE,MICHIGAN
NORTHWEST,20,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,029,CHARLEVOIX,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,029,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,110,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,FIELD CROPS,BU / ACRE,MICHIGAN
NORTHWEST,20,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,047,EMMET,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,047,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,116.5,"MICHIGAN, NORTHWEST, EMMET",26,FIELD CROPS,BU / ACRE,MICHIGAN
NORTHWEST,20,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,055,GRAND TRAVERSE,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,055,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,69.5,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",26,FIELD CROPS,BU / ACRE,MICHIGAN
NORTHWEST,20,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,089,LEELANAU,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,089,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,48.3,"MICHIGAN, NORTHWEST, LEELANAU",26,FIELD CROPS,BU / ACRE,MICHIGAN
NORTHWEST,20,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,101,MANISTEE,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,101,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,83.4,"MICHIGAN, NORTHWEST, MANISTEE",26,FIELD CROPS,BU / ACRE,MICHIGAN
NORTHWEST,20,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,113,MISSAUKEE,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,113,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,129.2,"MICHIGAN, NORTHWEST, MISSAUKEE",26,FIELD CROPS,BU / ACRE,MICHIGAN
NORTHWEST,20,CROPS,GRAIN,00,COUNTY,UNITED STATES,YIELD,YEAR,26,MI,ALL PRODUCTION PRACTICES,165,WEXFORD,TOTAL,00000000,2012,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,165,,,9000,ALL CLASSES,00,CORN,,NOT SPECIFIED,ANNUAL,2015-06-03 15:08:31.000,75,"MICHIGAN, NORTHWEST, WEXFORD",26,FIELD CROPS,BU / ACRE,MICHIGAN
