end_code,domaincat_desc,CV (%),begin_code,unit_desc,congr_district_code,freq_desc,source_desc,Value,statisticcat_desc,state_name,reference_period_desc,short_desc,load_time,class_desc,domain_desc,commodity_desc,watershed_code,state_alpha,prodn_practice_desc,county_name,watershed_desc,country_name,county_ansi,country_code,asd_desc,week_ending,county_code,agg_level_desc,sector_desc,state_fips_code,year,asd_code,util_practice_desc,location_desc,region_desc,zip_5,group_desc,state_ansi
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,52.5,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,,UNITED STATES,,9000,UPPER PENINSULA,,998,COUNTY,CROPS,26,1961,10,GRAIN,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",,,FIELD CROPS,26
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,41,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,,UNITED STATES,,9000,NORTHWEST,,998,COUNTY,CROPS,26,1961,20,GRAIN,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",,,FIELD CROPS,26
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,52.1,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,GRAND TRAVERSE,,UNITED STATES,055,9000,NORTHWEST,,055,COUNTY,CROPS,26,1961,20,GRAIN,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,,FIELD CROPS,26
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,54.2,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,MISSAUKEE,,UNITED STATES,113,9000,NORTHWEST,,113,COUNTY,CROPS,26,1961,20,GRAIN,"MICHIGAN, NORTHWEST, MISSAUKEE",,,FIELD CROPS,26
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,45.7,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,,UNITED STATES,,9000,NORTHEAST,,998,COUNTY,CROPS,26,1961,30,GRAIN,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",,,FIELD CROPS,26
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,46.9,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,IOSCO,,UNITED STATES,069,9000,NORTHEAST,,069,COUNTY,CROPS,26,1961,30,GRAIN,"MICHIGAN, NORTHEAST, IOSCO",,,FIELD CROPS,26
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,44,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,OGEMAW,,UNITED STATES,129,9000,NORTHEAST,,129,COUNTY,CROPS,26,1961,30,GRAIN,"MICHIGAN, NORTHEAST, OGEMAW",,,FIELD CROPS,26
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,40,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,LAKE,,UNITED STATES,085,9000,WEST CENTRAL,,085,COUNTY,CROPS,26,1961,40,GRAIN,"MICHIGAN, WEST CENTRAL, LAKE",,,FIELD CROPS,26
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,49.5,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,MASON,,UNITED STATES,105,9000,WEST CENTRAL,,105,COUNTY,CROPS,26,1961,40,GRAIN,"MICHIGAN, WEST CENTRAL, MASON",,,FIELD CROPS,26
00,NOT SPECIFIED,,00,BU / ACRE,,ANNUAL,SURVEY,51.9,YIELD,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,ALL PRODUCTION PRACTICES,MUSKEGON,,UNITED STATES,121,9000,WEST CENTRAL,,121,COUNTY,CROPS,26,1961,40,GRAIN,"MICHIGAN, WEST CENTRAL, MUSKEGON",,,FIELD CROPS,26
