country_code,commodity_desc,state_fips_code,sector_desc,end_code,region_desc,CV (%),state_ansi,prodn_practice_desc,Value,congr_district_code,state_name,short_desc,county_ansi,source_desc,asd_desc,location_desc,unit_desc,load_time,zip_5,watershed_desc,freq_desc,domain_desc,util_practice_desc,state_alpha,watershed_code,county_name,reference_period_desc,class_desc,statisticcat_desc,country_name,begin_code,domaincat_desc,agg_level_desc,group_desc,asd_code,week_ending,county_code,year
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,117.9,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,OTHER (COMBINED) COUNTIES,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,10,,998,2019
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,116.7,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",041,SURVEY,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, DELTA",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,DELTA,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,10,,041,2019
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,73.2,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",109,SURVEY,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, MENOMINEE",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,MENOMINEE,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,10,,109,2019
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,116.1,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,NORTHWEST,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,OTHER (COMBINED) COUNTIES,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,20,,998,2019
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,91.7,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",019,SURVEY,NORTHWEST,"MICHIGAN, NORTHWEST, BENZIE",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,BENZIE,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,20,,019,2019
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,100,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",047,SURVEY,NORTHWEST,"MICHIGAN, NORTHWEST, EMMET",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,EMMET,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,20,,047,2019
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,145,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",055,SURVEY,NORTHWEST,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,GRAND TRAVERSE,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,20,,055,2019
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,121.1,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",089,SURVEY,NORTHWEST,"MICHIGAN, NORTHWEST, LEELANAU",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,LEELANAU,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,20,,089,2019
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,119,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",101,SURVEY,NORTHWEST,"MICHIGAN, NORTHWEST, MANISTEE",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,MANISTEE,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,20,,101,2019
9000,CORN,26,CROPS,00,,,26,ALL PRODUCTION PRACTICES,152.2,,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",113,SURVEY,NORTHWEST,"MICHIGAN, NORTHWEST, MISSAUKEE",BU / ACRE,2024-02-23 15:00:00.000,,,ANNUAL,TOTAL,GRAIN,MI,00000000,MISSAUKEE,YEAR,ALL CLASSES,YIELD,UNITED STATES,00,NOT SPECIFIED,COUNTY,FIELD CROPS,20,,113,2019
